job_title,clean_job_title
Doctor of Laboratory Diagnostics in the 5-year Mobile Medical,"['doctor', 'laboratory', 'diagnostics', 'year', 'mobile', 'medical']"
Web Design Trainer,"['web', 'design', 'trainer']"
Doctor of Ultrasound Diagnostics in the 5-year Mobile Medical,"['doctor', 'ultrasound', 'diagnostics', 'year', 'mobile', 'medical']"
Paid Intern for Community Connection Program,"['pay', 'intern', 'community', 'connection', 'program']"
Programmer,['programmer']
Community Connection Program Paid Intern,"['community', 'connection', 'program', 'pay', 'intern']"
Program Experts,"['program', 'expert']"
Secretary,['secretary']
Journalist,['journalist']
Web-Site Developer,"['web', 'site', 'developer']"
Staff Manager Assistant,"['staff', 'manager', 'assistant']"
MIS consultant for AREGAK micro credit program,"['mi', 'consultant', 'aregak', 'micro', 'credit', 'program']"
WEb Designer,"['web', 'designer']"
Secretary,['secretary']
PR Specialist for EIA Watchdog Project,"['pr', 'specialist', 'eia', 'watchdog', 'project']"
"Visa Clerk, FSN-5; FP-9","['visa', 'clerk', 'fsn', 'fp']"
Pedagogical Adviser,"['pedagogical', 'adviser']"
Administrative assistant,"['administrative', 'assistant']"
Human Resources Clerk,"['human', 'resource', 'clerk']"
Youth Facility Educator,"['youth', 'facility', 'educator']"
Chief Accountant,"['chief', 'accountant']"
Web Programmer & Designer,"['web', 'programmer', 'designer']"
Photoshop Graphic Web Designer,"['photoshop', 'graphic', 'web', 'designer']"
Freehand Graphical Designer,"['freehand', 'graphical', 'designer']"
Photojournalism Course,"['photojournalism', 'course']"
Flash Active Scripting Programmer,"['flash', 'active', 'script', 'programmer']"
DHTML and Javascript Programmer,"['dhtml', 'javascript', 'programmer']"
Elementary Teacher,"['elementary', 'teacher']"
HTML Web Designer,"['html', 'web', 'designer']"
Database Architect,"['database', 'architect']"
Advanced Java Developer,"['advanced', 'java', 'developer']"
System Architect,"['system', 'architect']"
Project Manager,"['project', 'manager']"
Project Engineer,"['project', 'engineer']"
Marketing Expert,"['marketing', 'expert']"
PR Specialist,"['pr', 'specialist']"
Computer Skills Trainer,"['computer', 'skill', 'trainer']"
Programmer,['programmer']
Rural & Environment Operations Officer,"['rural', 'environment', 'operation', 'officer']"
Salesperson/Sales & Marketing Representative,"['salesperson', 'sale', 'marketing', 'representative']"
Foundation Director,"['foundation', 'director']"
Support Engineer,"['support', 'engineer']"
Country Coordinator - Armenia,"['country', 'coordinator', 'armenia']"
Elementary Teacher,"['elementary', 'teacher']"
Program Assistant,"['program', 'assistant']"
